NUM_ACC,MOIS_ACC,HEU_ACC,COD_PRV,COD_ETA_CHA,COD_ETA_SUR,COD_LUM,COD_INT,TYP_LIE_ACC,NUM_ROU,PKM,LAR_CHA,COD_TYP_CHA,COD_TYP_COL,COD_OBS_HRT,COD_POI_CHO,COD_MAN,CIR_ACC
4279,2.0,21,11,1,1,1,1,1,8.0,318.0,7.0,1.0,8.0,18,7.0,11.0,9
4280,2.0,12,11,1,1,2,1,1,8.0,331.0,7.0,1.0,2.0,15,4.0,1.0,3
4281,2.0,22,11,1,1,1,1,1,8.0,312.95,7.0,1.0,8.0,18,7.0,11.0,9
4282,2.0,15,11,1,1,2,1,1,206.0,101.95,7.0,1.0,8.0,18,7.0,11.0,9
4283,2.0,9,11,1,1,2,1,1,2117.0,20.0,7.0,1.0,8.0,14,7.0,16.0,9
4284,2.0,8,11,1,1,2,1,1,2117.0,5.5,7.0,1.0,2.0,15,4.0,1.0,9
4286,2.0,23,11,1,1,1,1,1,2123.0,17.0,7.0,1.0,8.0,14,7.0,16.0,9
4289,2.0,9,11,1,1,2,1,1,8.0,352.6,7.0,1.0,8.0,18,8.0,10.0,9
4294,2.0,16,11,1,1,2,1,1,205.0,1.5,7.0,1.0,8.0,18,7.0,11.0,46
4295,2.0,13,11,1,1,2,1,1,208.0,30.2,7.0,1.0,2.0,15,4.0,1.0,439
4296,2.0,13,11,1,1,2,1,1,2116.0,0.16,7.0,1.0,2.0,15,4.0,1.0,32
4297,2.0,11,11,1,1,2,1,1,208.0,31.1,7.0,1.0,1.0,15,1.0,4.0,9
4300,2.0,11,43,1,1,2,1,1,210.0,16.0,7.0,1.0,8.0,15,4.0,18.0,9
4305,2.0,14,43,1,1,2,1,1,2010.0,16.5,8.0,1.0,2.0,15,4.0,18.0,32
4306,2.0,20,43,1,1,1,1,1,2010.0,25.0,8.0,1.0,8.0,15,4.0,18.0,88
4307,2.0,18,43,1,1,1,1,1,210.0,16.7,7.0,1.0,8.0,18,9.0,18.0,92
4310,2.0,21,43,1,1,1,1,1,2009.0,42.0,7.0,1.0,8.0,18,9.0,18.0,9
4311,2.0,12,43,1,1,2,1,1,2009.0,50.0,7.0,1.0,8.0,18,9.0,18.0,9
4312,2.0,12,43,1,1,2,1,1,2017.0,22.0,8.0,1.0,2.0,15,4.0,18.0,9
4313,2.0,20,43,1,1,1,1,1,2010.0,40.3,8.0,1.0,2.0,15,4.0,18.0,59
4314,2.0,20,22,1,1,1,1,1,2017.0,9.5,8.0,1.0,2.0,15,4.0,18.0,9
4315,2.0,13,43,1,1,2,1,1,2010.0,38.2,8.0,1.0,2.0,15,4.0,18.0,406
4316,2.0,12,22,1,1,2,1,1,2017.0,16.0,8.0,1.0,8.0,18,9.0,18.0,31
4317,2.0,15,43,1,1,2,1,1,2010.0,40.2,8.0,1.0,3.0,15,5.0,18.0,9
4318,2.0,12,43,1,1,2,1,1,2017.0,18.1,8.0,1.0,2.0,15,4.0,18.0,9
4319,2.0,18,43,1,1,1,1,1,2017.0,17.0,8.0,1.0,3.0,15,2.0,18.0,9
4320,2.0,12,43,1,1,2,1,1,2012.0,25.8,6.0,1.0,8.0,18,9.0,18.0,9
4321,2.0,7,43,1,1,2,1,1,2012.0,22.4,6.0,1.0,8.0,18,9.0,18.0,9
4322,2.0,18,43,1,1,1,1,1,2010.0,54.1,8.0,1.0,8.0,14,1.0,18.0,9
4323,2.0,19,43,1,1,1,1,1,9999.0,159.8,8.0,1.0,8.0,15,1.0,18.0,9
4324,2.0,11,43,1,1,2,1,1,2009.0,8.0,7.0,1.0,8.0,18,9.0,18.0,9
4325,2.0,12,22,1,1,2,1,1,2014.0,1.0,7.0,1.0,8.0,18,9.0,18.0,9
4328,2.0,20,22,1,1,1,1,1,2014.0,4.0,7.0,1.0,8.0,18,9.0,18.0,9
4329,2.0,13,43,1,1,2,1,1,9.0,288.0,8.0,1.0,8.0,18,9.0,18.0,9
4330,2.0,19,43,1,1,1,1,1,9.0,272.9,8.0,1.0,3.0,15,5.0,18.0,9
4331,2.0,15,43,1,1,2,1,1,9.0,277.2,8.0,1.0,3.0,15,5.0,18.0,53
4332,2.0,7,43,1,1,2,1,1,9.0,272.7,8.0,1.0,3.0,15,5.0,18.0,32
4333,2.0,18,43,1,1,1,1,1,9.0,272.5,8.0,1.0,8.0,18,9.0,18.0,9
4334,2.0,19,22,1,1,1,1,1,9.0,262.4,8.0,1.0,2.0,15,4.0,18.0,9
4335,2.0,11,22,1,1,2,1,1,9.0,261.1,8.0,1.0,8.0,14,1.0,18.0,9
4336,2.0,7,22,1,1,2,1,1,9.0,255.7,8.0,1.0,8.0,18,9.0,18.0,31
4337,2.0,11,22,1,1,2,1,1,9.0,259.0,8.0,1.0,3.0,15,5.0,18.0,342
4339,2.0,18,43,1,1,1,1,1,9.0,9999.99,8.0,1.0,3.0,15,5.0,18.0,9
4340,2.0,22,22,1,1,1,1,1,9.0,260.0,8.0,1.0,8.0,14,1.0,18.0,86
4344,2.0,17,22,1,1,2,1,1,9.0,231.6,9.0,1.0,8.0,13,7.0,11.0,9
4347,2.0,21,22,1,1,1,1,1,7.0,137.0,16.0,1.0,7.0,15,7.0,1.0,9
4349,2.0,23,22,1,1,1,1,1,7.0,135.6,16.0,1.0,2.0,15,4.0,1.0,32
4350,2.0,20,22,1,1,1,1,1,7.0,129.8,16.0,1.0,7.0,15,7.0,6.0,9
4352,2.0,16,22,1,1,2,1,1,7.0,135.0,16.0,1.0,7.0,15,3.0,8.0,31
4354,2.0,21,22,1,1,1,1,1,7.0,132.0,16.0,1.0,8.0,13,7.0,11.0,9
4358,2.0,20,22,1,1,1,1,1,7.0,133.0,16.0,1.0,7.0,15,3.0,6.0,21
4360,2.0,13,22,1,1,2,1,1,8.0,224.8,7.0,1.0,2.0,15,1.0,9.0,9
4362,2.0,11,22,1,1,2,1,1,2013.0,1.0,7.0,1.0,8.0,18,7.0,11.0,3
4363,2.0,20,22,1,1,1,1,1,8.0,225.7,7.0,1.0,8.0,14,1.0,16.0,9
4364,2.0,12,22,1,1,2,1,1,8.0,225.8,7.0,1.0,1.0,1,1.0,4.0,9
4365,2.0,15,22,1,1,2,1,1,2018.0,9999.99,7.0,1.0,8.0,18,9.0,15.0,341
4367,2.0,11,22,1,1,2,1,1,8.0,236.1,10.0,1.0,7.0,15,7.0,9.0,9
4368,2.0,22,22,1,1,1,1,1,8.0,241.5,10.0,1.0,2.0,15,1.0,1.0,31
4371,2.0,20,22,1,1,1,1,1,8.0,237.0,10.0,1.0,7.0,15,1.0,1.0,9
4372,2.0,12,22,1,1,2,1,1,8.0,237.2,10.0,1.0,7.0,15,8.0,4.0,21
4373,2.0,10,22,1,1,2,1,1,8.0,235.0,10.0,1.0,7.0,15,7.0,1.0,46
4374,2.0,21,22,1,1,1,1,1,8.0,236.1,10.0,1.0,2.0,15,1.0,1.0,9
4376,2.0,14,22,1,1,2,1,1,8.0,236.1,10.0,1.0,2.0,15,4.0,1.0,32
4377,2.0,20,22,1,1,1,1,1,8.0,236.2,10.0,1.0,8.0,14,1.0,16.0,9
4379,2.0,16,22,1,1,2,1,1,8.0,234.0,10.0,1.0,1.0,15,1.0,4.0,31
4381,2.0,21,22,1,1,1,1,1,212.0,9999.99,7.0,1.0,2.0,15,1.0,1.0,36
4384,2.0,12,22,1,1,2,1,1,8.0,232.0,10.0,1.0,7.0,15,8.0,6.0,38
4385,2.0,15,22,1,1,2,1,1,2012.0,9999.99,8.0,1.0,7.0,15,2.0,19.0,31
4386,2.0,16,22,1,1,2,1,1,8.0,243.0,10.0,1.0,7.0,15,3.0,6.0,53
4388,2.0,21,22,1,1,1,1,1,8.0,242.2,10.0,1.0,7.0,15,7.0,1.0,9
4389,2.0,21,22,1,1,1,1,1,8.0,238.0,10.0,1.0,1.0,14,1.0,16.0,9
4390,2.0,18,22,1,1,1,1,1,212.0,5.0,6.0,1.0,2.0,15,4.0,1.0,9
4391,2.0,11,22,1,1,2,1,1,2008.0,9999.99,8.0,1.0,2.0,15,1.0,1.0,9
4392,2.0,12,22,1,1,2,1,1,8.0,264.0,9.0,2.0,2.0,15,4.0,1.0,31
4393,2.0,12,22,1,1,2,1,1,8.0,259.5,9.0,1.0,8.0,13,7.0,11.0,32
4394,2.0,17,22,1,1,2,1,1,8.0,266.0,9.0,1.0,7.0,15,8.0,8.0,9
4395,2.0,13,22,1,1,2,1,1,8.0,257.0,9.0,2.0,8.0,14,1.0,16.0,31
4397,2.0,22,22,1,1,1,1,1,210.0,4.0,8.0,1.0,8.0,16,1.0,16.0,9
4399,2.0,7,22,1,1,2,1,1,8.0,269.5,9.0,1.0,2.0,15,4.0,1.0,9
4400,2.0,7,22,1,1,2,1,1,2006.0,11.9,7.0,1.0,2.0,15,4.0,1.0,9
4402,2.0,0,22,1,1,1,1,1,2017.0,8.0,16.0,1.0,7.0,15,7.0,1.0,9
4403,2.0,16,22,1,1,2,1,1,203.0,5.0,8.0,1.0,7.0,1,2.0,19.0,9
4404,2.0,10,22,1,1,2,1,1,2017.0,12.1,16.0,1.0,2.0,15,4.0,1.0,46
4406,2.0,18,22,1,1,1,1,1,2017.0,15.9,8.0,1.0,7.0,15,8.0,8.0,9
4407,2.0,21,22,1,1,1,1,1,2017.0,9.3,16.0,1.0,8.0,15,7.0,1.0,82
4409,2.0,17,22,1,1,2,1,1,2017.0,15.1,8.0,1.0,2.0,15,4.0,1.0,436
4410,2.0,13,22,1,1,2,1,1,203.0,8.1,8.0,1.0,8.0,7,1.0,11.0,50
4411,2.0,11,22,1,1,2,1,1,2017.0,14.1,16.0,1.0,8.0,7,1.0,11.0,9
4412,2.0,18,22,1,1,1,1,1,2017.0,6.0,16.0,1.0,7.0,15,8.0,1.0,31
4413,2.0,11,22,1,1,2,1,1,2017.0,4.1,16.0,1.0,2.0,15,4.0,1.0,9
4414,2.0,20,22,1,1,1,1,1,2017.0,7.9,16.0,1.0,7.0,15,2.0,15.0,9
4415,2.0,20,22,1,1,1,1,1,203.0,4.6,8.0,1.0,7.0,15,3.0,8.0,32
4416,2.0,17,22,1,1,2,1,1,2017.0,12.1,16.0,1.0,2.0,15,4.0,1.0,21
4417,2.0,19,22,1,1,1,1,1,2017.0,6.2,16.0,1.0,1.0,15,1.0,1.0,9
4418,2.0,11,22,1,1,2,1,1,2017.0,5.8,16.0,1.0,2.0,15,4.0,1.0,9
4420,2.0,19,22,1,1,1,1,1,2017.0,3.8,16.0,1.0,7.0,15,5.0,16.0,9
4423,2.0,17,22,1,1,2,1,1,2017.0,8.9,16.0,1.0,8.0,14,1.0,16.0,9
4428,2.0,15,22,1,1,2,1,1,7.0,116.3,7.0,1.0,2.0,15,5.0,1.0,9
