Victimes,COD_ETA_CHA,COD_TYP_CHA,COD_TYP_COL,COD_MAN,AGE_CON,TMJA_en_veh_j,POS_ACO_DRO,POS_ACO_GAU,SIG_HOR,SIG_VER,COD_USA_VEH,COD_FAU_NON_CON,age_veh,route_class,Type_veh,Predicted_CLASSE_ISR
8,1,1,1,4,29,636,1,1,1,1,0,9,1,3,1,4
101,1,1,3,1,70,13948,1,1,1,1,2,9,16,1,4,1
13,1,1,2,1,47,4443,1,1,1,1,0,9,11,3,3,3
11,1,1,8,1,55,3743,1,1,1,1,0,9,1,1,1,3
18,1,1,8,10,46,111,1,1,1,1,0,9,16,1,3,4
139,1,1,2,2,60,4386,1,1,1,1,0,9,26,1,3,1
218,1,1,5,14,53,11512,1,1,1,1,0,9,7,1,3,1
8,1,1,2,1,59,4643,1,1,1,1,0,9,6,2,3,4
1,1,1,8,1,26,2709,1,1,1,2,0,9,23,3,3,4
56,1,2,3,13,36,2620,1,1,1,1,0,9,4,1,1,1
63,1,1,3,12,49,1710,1,1,1,1,0,9,8,2,3,1
16,1,1,2,16,33,2025,1,1,1,1,0,9,15,1,0,3
114,1,2,3,21,31,15519,1,1,1,1,4,9,23,1,3,1
4,1,1,8,16,46,2722,1,1,1,1,4,9,14,2,3,3
4,2,1,7,16,39,2965,1,1,1,1,0,9,28,3,3,4
231,1,1,3,1,39,15315,1,1,1,1,9,9,2,1,3,1
61,1,2,2,18,57,4155,1,1,2,2,0,9,18,1,3,1
7,1,1,8,11,34,2006,1,1,2,2,0,9,11,3,3,4
95,1,1,2,1,26,4039,1,1,1,1,4,9,0,2,3,1
376,1,2,3,1,35,12248,2,1,2,2,2,9,4,1,4,1
49,1,2,3,1,34,14495,1,1,1,1,0,9,1,2,1,1
14,1,1,2,1,37,1406,1,1,1,1,0,9,11,3,5,3
3,1,1,3,14,53,1460,1,1,1,1,0,9,14,1,3,3
6,1,1,7,6,53,2006,1,1,2,2,4,9,10,3,3,3
99,1,2,8,11,60,18976,2,2,1,1,1,9,5,1,3,2
36,1,1,7,1,40,7373,1,1,1,1,4,9,0,3,3,1
200,1,1,3,14,22,12383,1,1,1,2,0,9,15,1,3,1
113,1,1,2,1,17,4587,1,1,1,1,4,9,1,1,1,1
20,1,1,7,1,27,2972,1,1,1,1,0,9,16,1,3,3
22,1,1,3,4,42,3698,1,1,1,1,0,9,22,2,3,3
5,1,2,2,1,63,2244,1,1,1,1,0,9,31,2,3,3
459,1,1,3,18,32,20149,1,1,1,1,4,9,6,1,4,1
16,1,1,3,2,62,2821,1,1,1,1,0,9,20,2,1,3
215,1,1,3,1,16,5933,1,1,1,1,0,9,1,3,1,1
45,1,1,3,4,37,7730,1,1,1,1,0,9,3,2,3,1
218,1,1,4,1,40,11512,1,1,1,2,0,9,7,1,3,1
6,1,1,8,1,18,927,1,1,1,2,9,9,0,3,1,4
100,1,1,2,1,27,4039,1,1,1,1,0,9,19,2,3,1
218,1,1,3,14,45,11512,1,1,1,2,0,9,9,1,3,1
16,1,1,3,12,6,312,1,1,1,1,0,9,11,1,0,1
22,1,1,2,1,57,2451,1,1,1,1,9,9,22,1,3,3
70,1,1,7,1,69,7063,1,1,1,1,0,9,43,1,3,1
117,1,1,4,1,28,23089,1,1,1,1,0,9,2,1,3,1
77,1,1,1,4,15,4045,1,1,1,1,0,9,0,3,0,1
19,1,1,3,12,56,1710,1,1,1,2,0,9,9,2,3,3
184,1,1,7,4,39,22445,1,1,1,1,0,9,8,1,3,1
6,1,1,3,6,29,2651,1,1,1,1,0,9,1,2,1,4
6,1,1,1,4,61,2775,1,1,1,1,0,9,18,1,3,3
170,1,2,1,14,21,5427,1,1,1,2,4,9,14,2,1,1
390,1,1,2,1,38,22445,1,1,1,1,0,9,8,1,1,1
8,1,2,8,16,40,2050,1,1,1,1,0,9,1,2,3,4
15,1,2,8,18,47,4155,1,1,2,2,1,9,2,1,3,3
158,1,1,1,4,27,3602,1,1,1,1,0,9,7,3,1,1
4,1,1,3,21,19,1501,1,1,1,1,0,9,4,1,0,1
4,1,1,5,11,30,2125,1,1,1,1,0,9,9,1,3,4
53,1,1,3,4,41,3878,1,1,1,1,0,9,23,1,3,1
15,1,1,7,2,62,5967,1,1,1,1,0,9,8,3,3,4
54,1,1,3,4,57,2620,1,1,1,1,0,9,6,1,1,1
5,1,1,3,1,58,1363,1,1,1,1,0,9,13,3,3,4
14,1,1,2,1,32,2930,1,1,1,1,0,9,7,1,1,3
47,1,1,8,1,27,2722,1,1,1,1,4,9,8,2,1,1
7,1,1,8,1,49,7373,1,1,1,1,0,9,2,3,1,3
362,1,1,3,9,24,4587,1,1,1,1,0,9,8,1,1,1
10,1,1,3,16,42,2027,1,1,1,1,0,9,23,1,3,4
224,1,1,2,1,18,12495,1,1,1,1,0,9,3,1,0,1
20,1,1,4,4,36,4315,1,1,1,1,0,9,21,1,3,4
7,1,1,2,1,52,2440,1,1,1,1,0,9,2,1,1,3
13,1,1,3,2,23,7481,1,1,1,1,0,9,13,1,3,2
61,1,2,2,18,23,3815,1,1,2,2,0,9,0,1,1,1
3,1,1,1,14,22,1863,1,1,1,2,4,9,5,2,1,4
102,1,1,4,1,30,4236,1,1,1,1,0,9,1,3,1,1
101,1,1,7,10,27,3594,1,1,1,1,4,9,1,1,3,1
82,1,1,1,4,39,7169,1,1,1,1,0,9,15,1,3,1
50,1,2,3,1,42,18976,1,1,1,1,0,9,16,1,3,2
82,1,1,8,11,21,3423,1,1,1,1,0,9,16,2,3,1
8,1,1,2,1,31,3423,1,1,1,2,0,9,25,2,3,3
182,1,1,3,6,28,3904,1,1,1,1,0,9,1,1,3,1
5,1,1,8,1,37,5779,1,1,1,1,9,9,6,1,3,3
459,1,2,8,16,43,20149,1,1,1,1,0,9,8,1,3,1
7,1,1,8,1,31,2764,1,1,2,2,0,9,20,1,3,4
390,1,1,8,16,50,22445,1,1,1,1,0,9,14,1,3,1
390,1,1,7,8,20,22445,1,1,1,1,0,9,7,1,1,1
301,1,2,2,1,41,19345,1,1,1,1,0,9,0,1,1,1
376,1,1,2,1,20,12248,1,1,1,2,0,9,10,1,1,1
2,1,2,3,1,54,7270,1,1,1,1,9,9,4,3,4,3
